14;78;M;Masculino;1
116;114;No;No;2
117;116;Sí;Sí;1
118;116;No;No;2
119;119;Sí;Sí;1
120;119;No;No;2
121;120;Regular;Regular;2
122;120;Mal;Mal;3
123;120;Bien;Bien;1
124;121;Sí;Sí;1
125;121;No;No;2
126;123;Poco;Poco;3
127;123;Nada;Nada;4
128;123;Regular;Regular;2
129;123;Mucha;Mucha;1
130;124;Sí;Sí;1
131;124;No;No;2
132;124;Prefiero no decirlo;Prefiero no decirlo;3
133;126;Sí;Sí;1
134;126;No;No;2
135;80;NS;No sabe;100
136;81;NS;No sabe;100
137;82;NS;No sabe;100
138;99;NS;No sabe;100
139;83;NS;No sabe;100
140;84;NS;No sabe;100
141;85;NS;No sabe;100
142;88;NS;No sabe;100
143;90;NS;No sabe;100
144;91;NS;No sabe;100
145;92;NS;No sabe;100
146;94;NS;No sabe;100
147;96;NS;No sabe;100
148;98;NS;No sabe;100
149;101;NS;No sabe;100
150;103;NS;No sabe;100
151;104;NS;No sabe;100
152;106;NS;No sabe;100
153;108;NS;No sabe;100
154;110;NS;No sabe;100
155;112;NS;No sabe;100
156;113;NS;No sabe;100
157;114;NS;No sabe;100
158;116;NS;No sabe;100
159;119;NS;No sabe;100
160;120;NS;No sabe;100
161;121;NS;No sabe;100
162;123;NS;No sabe;100
163;124;NS;No sabe;100
164;126;NS;No sabe;100
165;80;NR;No quiere responder;101
166;81;NR;No quiere responder;101
167;82;NR;No quiere responder;101
168;99;NR;No quiere responder;101
169;83;NR;No quiere responder;101
170;84;NR;No quiere responder;101
171;85;NR;No quiere responder;101
172;88;NR;No quiere responder;101
173;90;NR;No quiere responder;101
174;91;NR;No quiere responder;101
175;92;NR;No quiere responder;101
176;94;NR;No quiere responder;101
177;96;NR;No quiere responder;101
178;98;NR;No quiere responder;101
179;101;NR;No quiere responder;101
180;103;NR;No quiere responder;101
181;104;NR;No quiere responder;101
182;106;NR;No quiere responder;101
183;108;NR;No quiere responder;101
184;110;NR;No quiere responder;101
185;112;NR;No quiere responder;101
186;113;NR;No quiere responder;101
187;114;NR;No quiere responder;101
188;116;NR;No quiere responder;101
189;119;NR;No quiere responder;101
190;120;NR;No quiere responder;101
191;121;NR;No quiere responder;101
192;123;NR;No quiere responder;101
193;124;NR;No quiere responder;101
194;126;NR;No quiere responder;101
195;80;NA;No aplica;102
196;81;NA;No aplica;102
197;82;NA;No aplica;102
198;99;NA;No aplica;102
199;83;NA;No aplica;102
200;84;NA;No aplica;102
201;85;NA;No aplica;102
202;88;NA;No aplica;102
203;90;NA;No aplica;102
204;91;NA;No aplica;102
205;92;NA;No aplica;102
206;94;NA;No aplica;102
207;96;NA;No aplica;102
208;98;NA;No aplica;102
209;101;NA;No aplica;102
210;103;NA;No aplica;102
211;104;NA;No aplica;102
212;106;NA;No aplica;102
213;108;NA;No aplica;102
214;110;NA;No aplica;102
215;112;NA;No aplica;102
216;113;NA;No aplica;102
217;114;NA;No aplica;102
218;116;NA;No aplica;102
219;119;NA;No aplica;102
220;120;NA;No aplica;102
221;121;NA;No aplica;102
222;123;NA;No aplica;102
223;124;NA;No aplica;102
224;126;NA;No aplica;102
